Tool_name,Tool_class,Subclass,Primary_function,Data_modalities,Biobank_usage,Evidence_type,Evidence_sources,Scale_reported,Compute_environment,Integration_layer,Typical_workflow_stage,Input_formats,Output_formats,Licensing,Runtime_scaling_notes,Accuracy_or_QC_notes,Last_seen_version,Notes,Study_IDs
FastQC,raw_QC,read_QC,Per‑sample read quality control for sequencing runs,WES;WGS;genotyping_array,UKB;All_of_Us;FinnGen,core_pipeline,"PMID:xxxxxx; https://www.bioinformatics.babraham.ac.uk/projects/fastqc/",100k+ WES,HPC;cloud_AWS,,primary_variant_calling,FASTQ,HTML_report;text,open_source,Linear in reads; used as pre‑alignment QC,,0.11.9,Often wrapped in alignment workflows,"UKB_GWAS_2017;UKB_WES_200k;AoU_v1"
fastp,raw_QC,read_QC,Adapter trimming and read QC,WES;WGS,All_of_Us;PRECISE,recommended_on_platform,"PMID:xxxxxx",200k WGS,HPC;cloud_GCP,,primary_variant_calling,FASTQ,FASTQ;JSON_report,open_source,Highly multithreaded; minimal IO overhead,,0.23.2,,AoU_v1
BWA-MEM,alignment,short_read_align,Align short reads to reference genome,WES;WGS;genotyping_array,UKB;FinnGen;BBJ,core_pipeline,"PMID:xxxxxx",>500k samples combined,HPC,,"primary_variant_calling",FASTQ,CRAM;BAM,open_source,Scales with sharding across nodes,,0.7.17,,UKB_WES_200k;FinnGen_R6;BBJ_GWAS_2020
DRAGEN_germline,alignment,hardware_accel_align,Hardware‑accelerated alignment and variant calling,WGS;WES,All_of_Us;UKB_WGS,core_pipeline,"Whitepaper_xxxx",>200k WGS,DRAGEN_appliance;cloud_AWS,,"primary_variant_calling;variant_calling",FASTQ,CRAM;VCF,commercial,Near real‑time run times on WGS,,3.10,,AoU_v1;UKB_WGS_450k
GATK_HaplotypeCaller,variant_calling,per_sample_germline,Germline SNV/indel calling in gVCF mode,WES;WGS,UKB;All_of_Us;NPBBD_Korea,core_pipeline,"PMID:xxxxxx; https://gatk.broadinstitute.org",200k+ WES,HPC;cloud_AWS;cloud_GCP,Cromwell/WDL,primary_variant_calling,CRAM;BAM,gVCF,open_source,Thread‑parallel but IO heavy at cohort scale,,4.2.6,,UKB_WES_200k;AoU_v1
GATK_GenotypeGVCFs,joint_genotyping,joint_gvcf_calling,Joint genotyping of gVCFs to cohort VCF,WES;WGS,UKB;All_of_Us,core_pipeline,"PMID:xxxxxx",200k WES,HPC;cloud_AWS,Cromwell/WDL,joint_genotyping,gVCF,VCF,open_source,Requires scatter‑gather and interval sharding,,4.2.6,,UKB_WES_200k;AoU_v1
GraphTyper,variant_calling,graph_based_calling,Graph‑based joint variant calling,WGS,UKB_WGS;NPBBD_Korea,core_pipeline,"PMID:xxxxxx",>150k WGS,HPC,,"primary_variant_calling;joint_genotyping",CRAM;BAM,VCF,open_source,Designed for population‑scale joint calling,,2.7,,UKB_WGS_150k
DeepVariant,variant_calling,ml_germline,Deep‑learning germline variant caller,WGS;WES,All_of_Us;PRECISE,benchmark_only,"PMID:xxxxxx",100k WGS,cloud_GCP;HPC,Nextflow,primary_variant_calling,CRAM;BAM,VCF,open_source,GPU acceleration recommended,,1.5.0,,AoU_benchmark
Hail,distributed_engine,genomic_spark_engine,Spark‑based genomics analysis engine,WES;WGS;imputed_array;genotyping_array,UKB;All_of_Us;FinnGen;BBJ,core_pipeline,"https://hail.is; PMID:xxxxxx",>500k samples; >100M variants,cloud_AWS;cloud_GCP,Spark,"GWAS;sample_QC;variant_QC;PRS;annotation",VCF;BGEN;PLINK2_PFILE;MT,MT;summary_stats,open_source,Designed for biobank‑scale; relies on cluster tuning,Stable accuracy; numerical equivalence to plink2 for standard GWAS,0.2.132,Backbone for many modern biobank workflows,"UKB_GWAS_2018;AoU_v1;FinnGen_R6;BBJ_GWAS_2020"
SeqArray_GDS,variant_storage,gds_storage,Compressed GDS storage for variants,genotyping_array;WES;WGS,BBJ;NPBBD_Korea,core_pipeline,"PMID:xxxxxx",>200k samples,HPC,,variant_storage,VCF;PLINK,GDS,open_source,Random access; modest memory footprint,,1.34.0,,BBJ_GWAS_2020
Hail_VDS,variant_storage,vds_storage,Sparse variant data structure for WGS,WGS,UKB_WGS;All_of_Us,recommended_on_platform,"https://hail.is/docs/vds",>400k WGS,cloud_AWS;cloud_GCP,Spark,variant_storage,VCF;MT,VDS,open_source,Enables sparse representation of WGS genotypes at scale,,0.2.132,,UKB_WGS_450k;AoU_v1
plink2,sample_QC;population_structure;association_LMM,plink2_glm,QC, PCA, GWAS on array/imputed data,genotyping_array;imputed_array,UKB;FinnGen;BBJ,core_pipeline,"https://www.cog-genomics.org/plink/2.0/; PMID:xxxxxx",>500k samples,HPC,"Hail (export); stand‑alone","sample_QC;variant_QC;GWAS;population_structure",PLINK2_PFILE;BGEN;VCF,summary_stats;PCs,open_source,Highly optimized for dense genotype matrices,Well‑established numerical behaviour,2.00a3.7,Often used for PCs then LMM in another tool,"UKB_GWAS_2017;FinnGen_R6;BBJ_GWAS_2020"
KING,relatedness_IBD,kinship_estimation,Pairwise kinship/relatedness estimation,genotyping_array;imputed_array,UKB;FinnGen,core_pipeline,"PMID:xxxxxx",>400k samples,HPC,,relatedness_IBD,PLINK;VCF,relatedness_estimates,open_source,Can be chunked by chromosome to scale,,2.2.6,,UKB_GWAS_2017
SAIGE,association_LMM,binary_SAIGE,Mixed‑model GWAS for unbalanced binary traits,genotyping_array;imputed_array;WES,UKB;FinnGen;All_of_Us,core_pipeline,"PMID:xxxxxx; GitHub:SAIGE",>400k samples; many traits,HPC;cloud_AWS;cloud_GCP,Hail (input prep),GWAS,PLINK;BGEN;VCF,summary_stats,open_source,Two‑step design; good scalability for many phenotypes,Well‑calibrated for low case fractions,0.44.5,,UKB_GWAS_2018;FinnGen_R6;AoU_v1
REGENIE,association_LMM,whole_genome_regenie,Whole‑genome regression for binary/quantitative traits,genotyping_array;imputed_array;WES,UKB;All_of_Us,core_pipeline,"PMID:xxxxxx; GitHub:REGENIE",>400k samples,HPC;cloud_AWS,,GWAS,PLINK2_PFILE;BGEN,summary_stats,open_source,Step‑1 ridge regression; supports many phenotypes,Competitive power vs BOLT/SAIGE,3.0.2,,UKB_GWAS_2019;AoU_v1
BOLT-LMM,association_LMM,bolt_lmm,GWAS with Bayesian linear mixed models,genotyping_array;imputed_array,UKB;BBJ,core_pipeline,"PMID:xxxxxx; https://alkesgroup.broadinstitute.org/BOLT-LMM/",>400k samples,HPC,,GWAS,PLINK;BGEN,summary_stats,free_academic,Memory‑optimized for UKB‑scale,,2.3.6,,UKB_GWAS_2017;BBJ_GWAS_2020
SAIGE-GENE,rare_burden,saige_gene,Region‑based rare variant tests,WES;WGS,UKB_WES;All_of_Us_WES,core_pipeline,"PMID:xxxxxx",>150k WES,HPC;cloud_AWS,Hail (prep),rare_burden,VCF;BGEN,region_level_stats,open_source,Sparse GRM; works for exon‑dense genes,Maintains type‑I error in unbalanced designs,0.44.5,,UKB_WES_200k;AoU_WES_v1
